County,Category,Proportion,Participants
Siaya,Taking meds to control BP,NA,Women
Kisumu,Diagnosed with HBP/Hypertension,8.9,Women
Kisumu,Taking meds to control BP,26.3,Women
Homa Bay,Diagnosed with HBP/Hypertension,10.3,Women
Homa Bay,Taking meds to control BP,28.2,Women
Migori,Diagnosed with HBP/Hypertension,7.2,Women
Migori,Taking meds to control BP,58.9,Women
Kisii,Diagnosed with HBP/Hypertension,3.6,Women
Kisii,Taking meds to control BP,NA,Women
Nyamira,Diagnosed with HBP/Hypertension,6.1,Women
Nyamira,Taking meds to control BP,NA,Women
Nairobi City,Diagnosed with HBP/Hypertension,10.7,Women
Nairobi City,Taking meds to control BP,41.6,Women
Mombasa,Diagnosed with HBP/Hypertension,3.6,Men
Mombasa,Taking meds to control BP,NA,Men
Kwale,Diagnosed with HBP/Hypertension,1.6,Men
Kwale,Taking meds to control BP,NA,Men
Kilifi,Diagnosed with HBP/Hypertension,3.7,Men
Kilifi,Taking meds to control BP,NA,Men
Tana River,Diagnosed with HBP/Hypertension,3.8,Men
Tana River,Taking meds to control BP,NA,Men
Lamu,Diagnosed with HBP/Hypertension,3.9,Men
Lamu,Taking meds to control BP,NA,Men
Taita/Taveta,Diagnosed with HBP/Hypertension,4.6,Men
Taita/Taveta,Taking meds to control BP,NA,Men
Garissa,Diagnosed with HBP/Hypertension,1.5,Men
Garissa,Taking meds to control BP,NA,Men
Wajir,Diagnosed with HBP/Hypertension,2,Men
Wajir,Taking meds to control BP,NA,Men
Mandera,Diagnosed with HBP/Hypertension,0.8,Men
Mandera,Taking meds to control BP,NA,Men
Marsabit,Diagnosed with HBP/Hypertension,2.5,Men
Marsabit,Taking meds to control BP,NA,Men
Isiolo,Diagnosed with HBP/Hypertension,2.5,Men
Isiolo,Taking meds to control BP,NA,Men
Meru,Diagnosed with HBP/Hypertension,4.4,Men
Meru,Taking meds to control BP,NA,Men
Tharaka-Nithi,Diagnosed with HBP/Hypertension,4.4,Men
Tharaka-Nithi,Taking meds to control BP,NA,Men
Embu,Diagnosed with HBP/Hypertension,5.9,Men
Embu,Taking meds to control BP,NA,Men
Kitui,Diagnosed with HBP/Hypertension,0.7,Men
Kitui,Taking meds to control BP,NA,Men
Machakos,Diagnosed with HBP/Hypertension,1.2,Men
Machakos,Taking meds to control BP,NA,Men
Makueni,Diagnosed with HBP/Hypertension,0.7,Men
Makueni,Taking meds to control BP,NA,Men
Nyandarua,Diagnosed with HBP/Hypertension,5.4,Men
Nyandarua,Taking meds to control BP,NA,Men
Nyeri,Diagnosed with HBP/Hypertension,5,Men
Nyeri,Taking meds to control BP,NA,Men
Kirinyaga,Diagnosed with HBP/Hypertension,1.9,Men
Kirinyaga,Taking meds to control BP,NA,Men
Murang’a,Diagnosed with HBP/Hypertension,3.1,Men
Murang’a,Taking meds to control BP,NA,Men
Kiambu,Diagnosed with HBP/Hypertension,3.1,Men
Kiambu,Taking meds to control BP,NA,Men
Turkana,Diagnosed with HBP/Hypertension,4.4,Men
Turkana,Taking meds to control BP,NA,Men
West Pokot,Diagnosed with HBP/Hypertension,1,Men
West Pokot,Taking meds to control BP,NA,Men
Samburu,Diagnosed with HBP/Hypertension,4.7,Men
Samburu,Taking meds to control BP,NA,Men
Trans Nzoia,Diagnosed with HBP/Hypertension,1.4,Men
Trans Nzoia,Taking meds to control BP,NA,Men
Uasin Gishu,Diagnosed with HBP/Hypertension,2.8,Men
Uasin Gishu,Taking meds to control BP,NA,Men
Elgeyo/Marakwet,Diagnosed with HBP/Hypertension,0.6,Men
Elgeyo/Marakwet,Taking meds to control BP,NA,Men
Nandi,Diagnosed with HBP/Hypertension,2.7,Men
Nandi,Taking meds to control BP,NA,Men
Baringo,Diagnosed with HBP/Hypertension,4,Men
Baringo,Taking meds to control BP,NA,Men
Laikipia,Diagnosed with HBP/Hypertension,4.4,Men
Laikipia,Taking meds to control BP,NA,Men
Nakuru,Diagnosed with HBP/Hypertension,1.2,Men
Nakuru,Taking meds to control BP,NA,Men
Narok,Diagnosed with HBP/Hypertension,3,Men
Narok,Taking meds to control BP,NA,Men
Kajiado,Diagnosed with HBP/Hypertension,2.5,Men
Kajiado,Taking meds to control BP,NA,Men
Kericho,Diagnosed with HBP/Hypertension,2.2,Men
Kericho,Taking meds to control BP,NA,Men
Bomet,Diagnosed with HBP/Hypertension,1.2,Men
Bomet,Taking meds to control BP,NA,Men
Kakamega,Diagnosed with HBP/Hypertension,2.1,Men
Kakamega,Taking meds to control BP,NA,Men
Vihiga,Diagnosed with HBP/Hypertension,5,Men
Vihiga,Taking meds to control BP,NA,Men
Bungoma,Diagnosed with HBP/Hypertension,2.6,Men
Bungoma,Taking meds to control BP,NA,Men
Busia,Diagnosed with HBP/Hypertension,3,Men
Busia,Taking meds to control BP,NA,Men
Siaya,Diagnosed with HBP/Hypertension,2.2,Men
Siaya,Taking meds to control BP,NA,Men
Kisumu,Diagnosed with HBP/Hypertension,2.1,Men
Kisumu,Taking meds to control BP,NA,Men
Homa Bay,Diagnosed with HBP/Hypertension,5.8,Men
Homa Bay,Taking meds to control BP,NA,Men
Migori,Diagnosed with HBP/Hypertension,3.8,Men
Migori,Taking meds to control BP,NA,Men
Kisii,Diagnosed with HBP/Hypertension,1.9,Men
Kisii,Taking meds to control BP,NA,Men
Nyamira,Diagnosed with HBP/Hypertension,3.9,Men
Nyamira,Taking meds to control BP,NA,Men
Nairobi City,Diagnosed with HBP/Hypertension,4.3,Men
Nairobi City,Taking meds to control BP,NA,Men
