County,Category,Proportion,Participants
Elgeyo/Marakwet,Diagnosed with Depression,0.9,Women
Elgeyo/Marakwet,Receiving treatment,NA,Women
Nandi,Diagnosed with Depression,3.4,Women
Nandi,Receiving treatment,NA,Women
Baringo,Diagnosed with Depression,1.5,Women
Baringo,Receiving treatment,NA,Women
Laikipia,Diagnosed with Depression,2.6,Women
Laikipia,Receiving treatment,NA,Women
Nakuru,Diagnosed with Depression,3,Women
Nakuru,Receiving treatment,NA,Women
Narok,Diagnosed with Depression,17,Women
Narok,Receiving treatment,12.6,Women
Kajiado,Diagnosed with Depression,4.9,Women
Kajiado,Receiving treatment,NA,Women
Kericho,Diagnosed with Depression,2.3,Women
Kericho,Receiving treatment,NA,Women
Bomet,Diagnosed with Depression,4.2,Women
Bomet,Receiving treatment,NA,Women
Kakamega,Diagnosed with Depression,3.5,Women
Kakamega,Receiving treatment,NA,Women
Vihiga,Diagnosed with Depression,4.4,Women
Vihiga,Receiving treatment,NA,Women
Bungoma,Diagnosed with Depression,5.5,Women
Bungoma,Receiving treatment,45.3,Women
Busia,Diagnosed with Depression,5.1,Women
Busia,Receiving treatment,NA,Women
Siaya,Diagnosed with Depression,1.1,Women
Siaya,Receiving treatment,NA,Women
Kisumu,Diagnosed with Depression,2.6,Women
Kisumu,Receiving treatment,NA,Women
Homa Bay,Diagnosed with Depression,2.4,Women
Homa Bay,Receiving treatment,NA,Women
Migori,Diagnosed with Depression,4.8,Women
Migori,Receiving treatment,NA,Women
Kisii,Diagnosed with Depression,5.2,Women
Kisii,Receiving treatment,NA,Women
Nyamira,Diagnosed with Depression,3.7,Women
Nyamira,Receiving treatment,NA,Women
Nairobi City,Diagnosed with Depression,3,Women
Nairobi City,Receiving treatment,NA,Women
Mombasa,Diagnosed with Depression,2.1,Men
Mombasa,Receiving treatment,NA,Men
Kwale,Diagnosed with Depression,3.7,Men
Kwale,Receiving treatment,NA,Men
Kilifi,Diagnosed with Depression,0.5,Men
Kilifi,Receiving treatment,NA,Men
Tana River,Diagnosed with Depression,0.8,Men
Tana River,Receiving treatment,NA,Men
Lamu,Diagnosed with Depression,2,Men
Lamu,Receiving treatment,NA,Men
Taita/Taveta,Diagnosed with Depression,0.3,Men
Taita/Taveta,Receiving treatment,NA,Men
Garissa,Diagnosed with Depression,0,Men
Garissa,Receiving treatment,NA,Men
Wajir,Diagnosed with Depression,0.3,Men
Wajir,Receiving treatment,NA,Men
Mandera,Diagnosed with Depression,0.3,Men
Mandera,Receiving treatment,NA,Men
Marsabit,Diagnosed with Depression,0.7,Men
Marsabit,Receiving treatment,NA,Men
Isiolo,Diagnosed with Depression,9,Men
Isiolo,Receiving treatment,4.5,Men
Meru,Diagnosed with Depression,1.8,Men
Meru,Receiving treatment,NA,Men
Tharaka-Nithi,Diagnosed with Depression,3.1,Men
Tharaka-Nithi,Receiving treatment,NA,Men
Embu,Diagnosed with Depression,2.7,Men
Embu,Receiving treatment,NA,Men
Kitui,Diagnosed with Depression,0.1,Men
Kitui,Receiving treatment,NA,Men
Machakos,Diagnosed with Depression,0.5,Men
Machakos,Receiving treatment,NA,Men
Makueni,Diagnosed with Depression,1.1,Men
Makueni,Receiving treatment,NA,Men
Nyandarua,Diagnosed with Depression,3.1,Men
Nyandarua,Receiving treatment,NA,Men
Nyeri,Diagnosed with Depression,2.5,Men
Nyeri,Receiving treatment,NA,Men
Kirinyaga,Diagnosed with Depression,2.1,Men
Kirinyaga,Receiving treatment,NA,Men
Murang’a,Diagnosed with Depression,4.2,Men
Murang’a,Receiving treatment,NA,Men
Kiambu,Diagnosed with Depression,2.1,Men
Kiambu,Receiving treatment,NA,Men
Turkana,Diagnosed with Depression,1.1,Men
Turkana,Receiving treatment,NA,Men
West Pokot,Diagnosed with Depression,0.2,Men
West Pokot,Receiving treatment,NA,Men
Samburu,Diagnosed with Depression,2.9,Men
Samburu,Receiving treatment,NA,Men
Trans Nzoia,Diagnosed with Depression,1.4,Men
Trans Nzoia,Receiving treatment,NA,Men
Uasin Gishu,Diagnosed with Depression,6.9,Men
Uasin Gishu,Receiving treatment,NA,Men
Elgeyo/Marakwet,Diagnosed with Depression,1,Men
Elgeyo/Marakwet,Receiving treatment,NA,Men
Nandi,Diagnosed with Depression,0.1,Men
Nandi,Receiving treatment,NA,Men
Baringo,Diagnosed with Depression,0.2,Men
Baringo,Receiving treatment,NA,Men
Laikipia,Diagnosed with Depression,9.2,Men
Laikipia,Receiving treatment,NA,Men
Nakuru,Diagnosed with Depression,2.3,Men
Nakuru,Receiving treatment,NA,Men
Narok,Diagnosed with Depression,6.6,Men
Narok,Receiving treatment,NA,Men
Kajiado,Diagnosed with Depression,0.8,Men
Kajiado,Receiving treatment,NA,Men
Kericho,Diagnosed with Depression,1.2,Men
Kericho,Receiving treatment,NA,Men
Bomet,Diagnosed with Depression,20.5,Men
Bomet,Receiving treatment,3.2,Men
Kakamega,Diagnosed with Depression,5.6,Men
Kakamega,Receiving treatment,NA,Men
Vihiga,Diagnosed with Depression,3.5,Men
Vihiga,Receiving treatment,NA,Men
Bungoma,Diagnosed with Depression,5.3,Men
Bungoma,Receiving treatment,NA,Men
Busia,Diagnosed with Depression,2.2,Men
Busia,Receiving treatment,NA,Men
Siaya,Diagnosed with Depression,1.7,Men
Siaya,Receiving treatment,NA,Men
Kisumu,Diagnosed with Depression,1.9,Men
Kisumu,Receiving treatment,NA,Men
Homa Bay,Diagnosed with Depression,2.2,Men
Homa Bay,Receiving treatment,NA,Men
Migori,Diagnosed with Depression,4.7,Men
Migori,Receiving treatment,NA,Men
Kisii,Diagnosed with Depression,0,Men
Kisii,Receiving treatment,NA,Men
Nyamira,Diagnosed with Depression,1.9,Men
Nyamira,Receiving treatment,NA,Men
Nairobi City,Diagnosed with Depression,4.4,Men
Nairobi City,Receiving treatment,NA,Men
