characteristic,variable,category,proportion
39+,Pregnancy,Rate neonatal deaths,14.5
39+,Pregnancy,Perinatal mortality rate,33.6
39+,Pregnancy,Pregnancies (28 weeks),4876
39+,Pregnancy,Ratio still neonatal,1.4
Urban,Residence,No. still births,107
Urban,Residence,No. neonatal dealths,113
Urban,Residence,Rate still birth,16.1
Urban,Residence,Rate neonatal deaths,17.3
Urban,Residence,Perinatal mortality rate,33.1
Urban,Residence,Pregnancies (28 weeks),6640
Urban,Residence,Ratio still neonatal,0.9
Rural,Residence,No. still births,161
Rural,Residence,No. neonatal dealths,187
Rural,Residence,Rate still birth,14.5
Rural,Residence,Rate neonatal deaths,17.1
Rural,Residence,Perinatal mortality rate,31.3
Rural,Residence,Pregnancies (28 weeks),11104
Rural,Residence,Ratio still neonatal,0.9
No education,Residence,No. still births,33
No education,Residence,No. neonatal dealths,31
No education,Residence,Rate still birth,18.2
No education,Residence,Rate neonatal deaths,17.4
No education,Residence,Perinatal mortality rate,35.4
No education,Residence,Pregnancies (28 weeks),1829
No education,Residence,Ratio still neonatal,1.1
Primary,Residence,No. still births,111
Primary,Residence,No. neonatal dealths,128
Primary,Residence,Rate still birth,16.5
Primary,Residence,Rate neonatal deaths,19.3
Primary,Residence,Perinatal mortality rate,35.5
Primary,Residence,Pregnancies (28 weeks),6741
Primary,Residence,Ratio still neonatal,0.9
Secondary,Residence,No. still births,82
Secondary,Residence,No. neonatal dealths,97
Secondary,Residence,Rate still birth,13.7
Secondary,Residence,Rate neonatal deaths,16.4
Secondary,Residence,Perinatal mortality rate,29.8
Secondary,Residence,Pregnancies (28 weeks),5998
Secondary,Residence,Ratio still neonatal,0.8
More than secondary,Residence,No. still births,42
More than secondary,Residence,No. neonatal dealths,44
More than secondary,Residence,Rate still birth,13.1
More than secondary,Residence,Rate neonatal deaths,13.9
More than secondary,Residence,Perinatal mortality rate,26.8
More than secondary,Residence,Pregnancies (28 weeks),3176
More than secondary,Residence,Ratio still neonatal,1
Lowest,Wealth,No. still births,64
Lowest,Wealth,No. neonatal dealths,65
Lowest,Wealth,Rate still birth,16
Lowest,Wealth,Rate neonatal deaths,16.6
Lowest,Wealth,Perinatal mortality rate,32.3
Lowest,Wealth,Pregnancies (28 weeks),3983
Lowest,Wealth,Ratio still neonatal,1
Second,Wealth,No. still births,38
Second,Wealth,No. neonatal dealths,48
Second,Wealth,Rate still birth,11.9
Second,Wealth,Rate neonatal deaths,15.2
Second,Wealth,Perinatal mortality rate,27
Second,Wealth,Pregnancies (28 weeks),3183
Second,Wealth,Ratio still neonatal,0.8
Middle,Wealth,No. still births,52
Middle,Wealth,No. neonatal dealths,60
Middle,Wealth,Rate still birth,16.6
Middle,Wealth,Rate neonatal deaths,19.7
Middle,Wealth,Perinatal mortality rate,36
Middle,Wealth,Pregnancies (28 weeks),3123
Middle,Wealth,Ratio still neonatal,0.9
Fourth,Wealth,No. still births,57
Fourth,Wealth,No. neonatal dealths,71
Fourth,Wealth,Rate still birth,16
Fourth,Wealth,Rate neonatal deaths,20
Fourth,Wealth,Perinatal mortality rate,35.6
Fourth,Wealth,Pregnancies (28 weeks),3597
Fourth,Wealth,Ratio still neonatal,0.8
Highest,Wealth,No. still births,57
Highest,Wealth,No. neonatal dealths,56
Highest,Wealth,Rate still birth,14.8
Highest,Wealth,Rate neonatal deaths,14.7
Highest,Wealth,Perinatal mortality rate,29.3
Highest,Wealth,Pregnancies (28 weeks),3858
Highest,Wealth,Ratio still neonatal,1
