Reason,variable,Proportion
Infrequent sex/husband away,Injectables,10.5
Infrequent sex/husband away,Implants,4.4
Infrequent sex/husband away,Pill,12
Infrequent sex/husband away,male_condom,35
Infrequent sex/husband away,female_condom,NA
Infrequent sex/husband away,emergency_contraception,30.7
Infrequent sex/husband away,SDM,27.5
Infrequent sex/husband away,rythm,20.7
Infrequent sex/husband away,withdrawal,12.4
Infrequent sex/husband away,other,8.9
Infrequent sex/husband away,all_methods,11.6
Marital dissolution/separation,IUD,0
Marital dissolution/separation,Injectables,1.2
Marital dissolution/separation,Implants,0.4
Marital dissolution/separation,Pill,1.3
Marital dissolution/separation,male_condom,1
Marital dissolution/separation,female_condom,NA
Marital dissolution/separation,emergency_contraception,1.2
Marital dissolution/separation,SDM,0
Marital dissolution/separation,rythm,1
Marital dissolution/separation,withdrawal,3
Marital dissolution/separation,other,0.7
Marital dissolution/separation,all_methods,1
Other,IUD,1.3
Other,Injectables,0.4
Other,Implants,0.3
Other,Pill,0.3
Other,male_condom,0.5
Other,female_condom,NA
Other,emergency_contraception,0
Other,SDM,5.6
Other,rythm,0
Other,withdrawal,1.1
Other,other,3.4
Other,all_methods,0.5
Don't know,IUD,2.7
Don't know,Injectables,0.4
Don't know,Implants,0.1
Don't know,Pill,0
Don't know,male_condom,1.4
Don't know,female_condom,NA
Don't know,emergency_contraception,2.8
Don't know,SDM,0
Don't know,rythm,0
Don't know,withdrawal,3.1
Don't know,other,0.2
Don't know,all_methods,0.5
Missing,IUD,1.8
Missing,Injectables,1.8
Missing,Implants,1
Missing,Pill,3.9
Missing,male_condom,3.1
Missing,female_condom,NA
Missing,emergency_contraception,2.4
Missing,SDM,10.8
Missing,rythm,6.9
Missing,withdrawal,6.9
Missing,other,3.5
Missing,all_methods,2.5
