County,Category,Proportion,Participants
Narok,Vaccinated,19.4,Population
Kajiado,Tested,24.3,Population
Kajiado,Vaccinated,33.4,Population
Kericho,Tested,9.5,Population
Kericho,Vaccinated,35.0,Population
Bomet,Tested,5.1,Population
Bomet,Vaccinated,23.4,Population
Kakamega,Tested,8.5,Population
Kakamega,Vaccinated,37.9,Population
Vihiga,Tested,5.4,Population
Vihiga,Vaccinated,37.4,Population
Bungoma,Tested,7.2,Population
Bungoma,Vaccinated,31.9,Population
Busia,Tested,5.9,Population
Busia,Vaccinated,31.0,Population
Siaya,Tested,8.7,Population
Siaya,Vaccinated,36.9,Population
Kisumu,Tested,20.8,Population
Kisumu,Vaccinated,37.6,Population
Homa Bay,Tested,15.2,Population
Homa Bay,Vaccinated,30.8,Population
Migori,Tested,9.9,Population
Migori,Vaccinated,29.4,Population
Kisii,Tested,6.5,Population
Kisii,Vaccinated,28.8,Population
Nyamira,Tested,8.1,Population
Nyamira,Vaccinated,29.7,Population
Nairobi City,Tested,28.8,Population
Nairobi City,Vaccinated,40.6,Population
