"County","variable","value"
"Murang'a","Sewn closed","(6.2)"
"Kiambu","Sewn closed","*"
"Turkana","Sewn closed","*"
"West Pokot","Sewn closed","10.3"
"Samburu","Sewn closed","0.9"
"Trans Nzoia","Sewn closed","(13.3)"
"Uasin Gishu","Sewn closed","*"
"Elgeyo-Marakwet","Sewn closed","12.0"
"Nandi","Sewn closed","*"
"Baringo","Sewn closed","6.2"
"Laikipia","Sewn closed","(6.1)"
"Nakuru","Sewn closed","6.7"
"Narok","Sewn closed","1.2"
"Kajiado","Sewn closed","20.5"
"Kericho","Sewn closed","(8.1)"
"Bomet","Sewn closed","2.6"
"Kakamega","Sewn closed","*"
"Vihiga","Sewn closed","*"
"Bungoma","Sewn closed","*"
"Busia","Sewn closed","*"
"Siaya","Sewn closed","*"
"Kisumu","Sewn closed","*"
"Homa Bay","Sewn closed","*"
"Migori","Sewn closed","3.5"
"Kisii","Sewn closed","0.5"
"Nyamira","Sewn closed","1.3"
"Nairobi","Sewn closed","(22.7)"
"Mombasa","Don't know","*"
"Kwale","Don't know","*"
"Kilifi","Don't know","*"
"Tana River","Don't know","5.5"
"Lamu","Don't know","(1.5)"
"Taita Taveta","Don't know","(7.0)"
"Garissa","Don't know","17.1"
"Wajir","Don't know","0.7"
"Mandera","Don't know","5.8"
"Marsabit","Don't know","6.6"
"Isiolo","Don't know","15.3"
"Meru","Don't know","4.8"
"Tharaka-Nithi","Don't know","1.3"
"Embu","Don't know","0.0"
"Kitui","Don't know","(2.9)"
"Machakos","Don't know","*"
"Makueni","Don't know","*"
"Nyandarua","Don't know","*"
"Nyeri","Don't know","*"
"Kirinyaga","Don't know","(1.4)"
"Murang'a","Don't know","(0.0)"
"Kiambu","Don't know","*"
"Turkana","Don't know","*"
"West Pokot","Don't know","1.8"
"Samburu","Don't know","0.3"
"Trans Nzoia","Don't know","(0.0)"
"Uasin Gishu","Don't know","*"
"Elgeyo-Marakwet","Don't know","1.8"
"Nandi","Don't know","*"
"Baringo","Don't know","0.0"
"Laikipia","Don't know","(4.5)"
"Nakuru","Don't know","14.6"
"Narok","Don't know","12.4"
"Kajiado","Don't know","0.0"
"Kericho","Don't know","(0.0)"
"Bomet","Don't know","0.0"
"Kakamega","Don't know","*"
"Vihiga","Don't know","*"
"Bungoma","Don't know","*"
"Busia","Don't know","*"
"Siaya","Don't know","*"
"Kisumu","Don't know","*"
"Homa Bay","Don't know","*"
"Migori","Don't know","53.5"
"Kisii","Don't know","3.7"
"Nyamira","Don't know","6.2"
"Nairobi","Don't know","(1.8)"
