"County","variable","value"
"Kisumu  ","5-9","*"
"Homa Bay  ","5-9","*"
"Migori  ","5-9","13.5"
"Kisii  ","5-9","46"
"Nyamira  ","5-9","44.8"
"Nairobi ","5-9","-34.2"
"Mombasa  ","10-14","*"
"Kwale  ","10-14","*"
"Kilifi  ","10-14","*"
"Tana River  ","10-14","38.1"
"Lamu  ","10-14","-33.3"
"Taita Taveta  ","10-14","-7.5"
"Garissa ","10-14","28.6"
"Wajir  ","10-14","10.3"
"Mandera ","10-14","32.6"
"Marsabit  ","10-14","53.7"
"Isiolo  ","10-14","49.2"
"Meru ","10-14","40.6"
"Tharaka Nithi  ","10-14","73.8"
"Embu  ","10-14","67.7"
"Kitui  ","10-14","-49.9"
"Machakos  ","10-14","*"
"Makueni  ","10-14","*"
"Nyandarua  ","10-14","*"
"Nyeri  ","10-14","*"
"Kirinyaga  ","10-14","-46.5"
"Muranga ","10-14","-63.6"
"Kiambu  ","10-14","*"
"Turkana  ","10-14","*"
"West Pokot  ","10-14","37.8"
"Samburu  ","10-14","64.6"
"Trans Nzoia  ","10-14","-40.9"
"Uasin Gishu  ","10-14","*"
"Elgeyo Marakwet  ","10-14","68.2"
"Nandi  ","10-14","*"
"Baringo  ","10-14","42.7"
"Laikipia  ","10-14","-54"
"Nakuru  ","10-14","32.3"
"Narok  ","10-14","50.3"
"Kajiado  ","10-14","62.4"
"Kericho  ","10-14","-29.2"
"Bomet  ","10-14","15.7"
"Kakamega  ","10-14","*"
"Vihiga  ","10-14","*"
"Bungoma ","10-14","*"
"Busia  ","10-14","*"
"Siaya  ","10-14","*"
"Kisumu  ","10-14","*"
"Homa Bay  ","10-14","*"
"Migori  ","10-14","69"
"Kisii  ","10-14","50.9"
"Nyamira  ","10-14","52.8"
"Nairobi ","10-14","-40.7"
"Mombasa  ","15+","*"
"Kwale  ","15+","*"
"Kilifi  ","15+","*"
"Tana River  ","15+","0.2"
"Lamu  ","15+","-8.6"
"Taita Taveta  ","15+","-2.3"
"Garissa ","15+","0.1"
"Wajir  ","15+","0"
"Mandera ","15+","0.4"
"Marsabit  ","15+","27.2"
"Isiolo  ","15+","6.8"
"Meru ","15+","49.7"
"Tharaka Nithi  ","15+","24.8"
"Embu  ","15+","22.9"
"Kitui  ","15+","-3.2"
"Machakos  ","15+","*"
"Makueni  ","15+","*"
"Nyandarua  ","15+","*"
"Nyeri  ","15+","*"
"Kirinyaga  ","15+","-42.3"
"Muranga ","15+","-9.2"
"Kiambu  ","15+","*"
"Turkana  ","15+","*"
"West Pokot  ","15+","60.2"
"Samburu  ","15+","24.8"
"Trans Nzoia  ","15+","-26"
"Uasin Gishu  ","15+","*"
"Elgeyo Marakwet  ","15+","25.7"
"Nandi  ","15+","*"
"Baringo  ","15+","55.8"
"Laikipia  ","15+","-26.6"
"Nakuru  ","15+","36.7"
"Narok  ","15+","44.8"
"Kajiado  ","15+","22.5"
"Kericho  ","15+","-66.4"
"Bomet  ","15+","77.8"
"Kakamega  ","15+","*"
"Vihiga  ","15+","*"
"Bungoma ","15+","*"
"Busia  ","15+","*"
"Siaya  ","15+","*"
"Kisumu  ","15+","*"
"Homa Bay  ","15+","*"
"Migori  ","15+","17.5"
"Kisii  ","15+","1"
"Nyamira  ","15+","0.4"
"Nairobi ","15+","-11.4"
"Mombasa  ","Don't know","*"
"Kwale  ","Don't know","*"
"Kilifi  ","Don't know","*"
"Tana River  ","Don't know","1.2"
"Lamu  ","Don't know","-2.3"
"Taita Taveta  ","Don't know","0"
"Garissa ","Don't know","0"
"Wajir  ","Don't know","7.6"
"Mandera ","Don't know","0.2"
"Marsabit  ","Don't know","2.7"
"Isiolo  ","Don't know","2"
"Meru ","Don't know","2.5"
"Tharaka Nithi  ","Don't know","0"
"Embu  ","Don't know","0"
"Kitui  ","Don't know","0"
"Machakos  ","Don't know","*"
"Makueni  ","Don't know","*"
"Nyandarua  ","Don't know","*"
"Nyeri  ","Don't know","*"
"Kirinyaga  ","Don't know","-6.5"
"Muranga ","Don't know","-2.2"
"Kiambu  ","Don't know","*"
"Turkana  ","Don't know","*"
"West Pokot  ","Don't know","0"
"Samburu  ","Don't know","3.4"
"Trans Nzoia  ","Don't know","0"
"Uasin Gishu  ","Don't know","*"
"Elgeyo Marakwet  ","Don't know","1.8"
"Nandi  ","Don't know","*"
"Baringo  ","Don't know","0"
"Laikipia  ","Don't know","0"
"Nakuru  ","Don't know","2.1"
"Narok  ","Don't know","1.1"
"Kajiado  ","Don't know","4.7"
"Kericho  ","Don't know","0"
"Bomet  ","Don't know","2.3"
"Kakamega  ","Don't know","*"
"Vihiga  ","Don't know","*"
"Bungoma ","Don't know","*"
"Busia  ","Don't know","*"
"Siaya  ","Don't know","*"
"Kisumu  ","Don't know","*"
"Homa Bay  ","Don't know","*"
"Migori  ","Don't know","0"
"Kisii  ","Don't know","1.1"
"Nyamira  ","Don't know","1.6"
"Nairobi ","Don't know","-1.8"
